X,Y,Z
-80.8951042,43.6617708,395.00
-80.8917708,43.6617708,396.00
-80.8884375,43.6617708,398.00
-80.8851042,43.6617708,400.00
-80.8817708,43.6617708,400.00
-80.8784375,43.6617708,398.00
-80.8751042,43.6617708,400.00
-80.8717708,43.6617708,397.00
-80.8684375,43.6617708,396.00
-80.8651042,43.6617708,395.75
-80.8617708,43.6617708,394.00
-80.8584375,43.6617708,391.00
-80.8551042,43.6617708,392.25
-80.8517708,43.6617708,391.50
-80.8484375,43.6617708,394.00
-80.8451042,43.6617708,394.25
-80.8417708,43.6617708,392.00
-80.8384375,43.6617708,395.00
-80.8351042,43.6617708,396.00
-80.8317708,43.6617708,396.00
-80.8284375,43.6617708,397.00
-80.8251042,43.6617708,398.00
-80.8217708,43.6617708,399.00
-80.8184375,43.6617708,399.00
-80.8151042,43.6617708,398.00
-80.8117708,43.6617708,400.00
-80.8084375,43.6617708,400.00
-80.8051042,43.6617708,401.00
-80.8017708,43.6617708,400.00
-80.7984375,43.6617708,402.00
-80.7951042,43.6617708,403.00
-80.7917708,43.6617708,404.00
-80.7884375,43.6617708,400.00
-80.7851042,43.6617708,401.00
-80.7817708,43.6617708,403.00
-80.7784375,43.6617708,404.00
-80.7751042,43.6617708,405.00
-80.7717708,43.6617708,405.00
-80.7684375,43.6617708,405.00
-80.7651042,43.6617708,406.00
-80.7617708,43.6617708,407.00
-80.7584375,43.6617708,406.75
-80.7551042,43.6617708,406.00
-80.7517708,43.6617708,403.00
-80.7484375,43.6617708,405.50
-80.7451042,43.6617708,405.00
-80.7417708,43.6617708,405.00
-80.7384375,43.6617708,406.00
-80.7351042,43.6617708,408.50
-80.7317708,43.6617708,410.00
-80.7284375,43.6617708,414.00
-80.7251042,43.6617708,415.00
-80.7217708,43.6617708,415.00
-80.7184375,43.6617708,407.50
-80.7151042,43.6617708,397.75
-80.7117708,43.6617708,387.50
-80.7084375,43.6617708,370.00
-80.7051042,43.6617708,392.25
-80.7017708,43.6617708,402.00
-80.6984375,43.6617708,405.00
-80.6951042,43.6617708,403.75
-80.6917708,43.6617708,399.00
-80.6884375,43.6617708,396.00
-80.6851042,43.6617708,395.50
-80.6817708,43.6617708,399.75
-80.6784375,43.6617708,401.50
-80.6751042,43.6617708,401.00
-80.6717708,43.6617708,403.00
-80.6684375,43.6617708,403.00
-80.6651042,43.6617708,399.75
